Latitud,Longitud
-47.25,-64.25
-46.75,-63.25
-46.75,-62.75
-46.25,-62.25
-47.25,-63.75
-47.25,-62.75
-47.25,-63.25
-47.25,-62.25
-46.75,-62.25
-46.75,-61.75
-47.25,-61.25
-46.75,-60.75
-47.75,-61.25
-48.25,-61.25
-48.25,-60.75
-47.75,-60.75
-45.75,-62.25
-46.75,-63.75
-46.25,-63.75
-47.25,-60.75
-46.25,-61.25
-46.25,-60.75
-45.75,-60.75
-45.25,-60.25
-44.75,-60.75
-44.75,-60.25
-46.25,-62.75
-45.75,-62.75
-45.25,-63.25
-47.75,-62.75
-47.75,-64.25
-47.75,-61.75
-45.25,-62.25
-42.25,-58.75
-43.25,-60.75
-43.25,-61.25
-43.75,-61.25
-45.25,-61.75
-44.75,-63.75
-44.75,-64.25
-45.25,-62.75
-44.75,-62.25
-44.75,-61.75
-45.75,-63.25
-45.25,-63.75
-45.75,-64.25
-45.25,-64.25
-46.25,-63.25
-44.25,-63.75
-44.75,-63.25
-44.25,-59.75
-44.25,-60.25
-42.25,-58.25
-41.75,-57.75
-41.25,-57.75
-41.25,-57.25
-40.25,-56.75
-40.75,-56.75
-40.25,-56.25
-39.75,-56.25
-42.75,-58.75
-43.25,-59.25
-42.25,-60.25
-41.75,-58.75
-42.75,-60.25
-42.75,-59.75
-43.25,-60.25
-42.75,-60.75
-43.25,-59.75
-42.25,-59.75
-41.75,-59.75
-41.75,-59.25
-42.25,-59.25
-40.25,-59.25
-40.75,-60.25
-41.25,-60.25
-40.75,-59.75
-39.75,-58.25
-39.75,-58.75
-44.75,-62.75
-44.25,-62.75
-44.75,-59.75
-41.75,-58.25
-42.75,-59.25
-52.75,-64.75
-52.75,-64.25
-53.25,-64.25
-53.25,-63.75
-52.75,-63.75
-44.25,-62.25
-43.25,-61.75
-42.25,-60.75
-41.75,-57.25
-40.75,-57.25
-53.25,-64.75
-43.75,-61.75
-47.75,-62.25
-47.25,-61.75
-46.75,-61.25
-40.25,-59.75
-40.75,-59.25
-39.25,-58.25
-44.25,-61.75
-45.75,-61.75
-47.75,-63.75
-47.75,-63.25
-39.25,-57.75
-44.25,-60.75
-41.25,-58.25
-43.75,-62.25
-43.25,-62.25
-42.75,-61.25
-50.25,-63.25
-43.75,-60.75
-43.75,-59.75
-41.75,-60.25
-48.75,-60.75
-43.75,-60.25
-52.25,-63.75
-52.25,-64.25
-41.25,-60.75
-39.25,-58.75
-48.75,-61.25
-49.25,-61.25
-42.75,-61.75
-49.75,-62.75
-45.25,-60.75
-44.75,-61.25
-46.25,-64.25
-45.25,-61.25
-48.25,-64.75
-45.75,-63.75
-44.25,-63.25
-47.25,-64.75
-48.25,-62.25
-48.25,-61.75
-49.25,-64.75
-49.25,-64.25
-49.25,-63.75
-49.25,-63.25
-49.25,-62.75
-49.25,-61.75
-48.75,-62.25
-49.25,-65.25
-48.75,-64.25
-48.75,-63.75
-48.75,-63.25
-48.75,-62.75
-45.75,-61.25
-44.25,-61.25
-42.25,-61.25
-41.75,-61.25
-41.75,-61.75
-46.25,-61.75
-46.75,-64.25
-43.75,-63.25
-43.75,-62.75
-43.25,-62.75
-42.75,-62.25
-42.25,-62.25
-41.75,-62.25
-48.25,-62.75
-40.75,-58.75
-39.75,-60.25
-46.25,-60.25
-45.75,-60.25
-43.75,-59.25
-40.25,-60.75
-40.25,-60.25
-41.25,-59.25
-41.25,-58.75
-39.25,-56.75
-39.25,-56.25
-38.75,-56.75
-42.25,-61.75
-39.75,-57.75
-40.75,-58.25
-40.25,-58.25
-40.25,-57.75
-39.75,-59.25
-40.25,-58.75
-48.25,-64.25
-48.25,-63.75
-48.25,-63.25
-46.75,-65.25
-46.75,-64.75
-48.75,-66.25
-48.75,-65.75
-49.75,-66.75
-49.75,-66.25
-49.25,-66.75
-51.75,-66.75
-51.25,-66.75
-50.75,-66.75
-50.75,-66.25
-52.75,-65.25
-52.25,-66.75
-52.25,-66.25
-52.25,-65.75
-52.25,-65.25
-51.75,-67.25
-51.25,-64.75
-50.75,-64.75
-50.25,-64.75
-49.75,-64.75
-46.25,-64.75
-48.75,-65.25
-52.25,-64.75
-51.75,-64.75
-50.75,-65.25
-50.25,-65.25
-49.75,-65.25
-51.75,-63.75
-51.25,-63.25
-50.75,-63.25
-50.25,-62.75
-49.75,-62.25
-41.25,-59.75
-40.75,-57.75
-39.75,-57.25
-39.25,-57.25
-41.25,-61.25
-38.75,-56.25
-38.75,-55.75
-38.75,-55.25
-38.25,-55.25
-37.75,-54.75
-37.75,-55.75
-37.25,-55.25
-38.25,-56.25
-40.25,-57.25
-39.75,-56.75
-48.75,-61.75
-49.75,-61.75
-39.75,-55.75
-45.75,-64.75
-42.25,-62.75
-49.25,-62.25
-51.25,-63.75
0.75,139.25
-46.25,-65.25
-45.75,-65.25
-41.75,-62.75
-51.75,-63.25
-51.75,-64.25
-52.75,-63.25
-48.75,-64.75
-49.75,-63.25
-50.75,-63.75
-41.75,-60.75
-39.75,-59.75
-46.25,-66.25
-46.25,-65.75
-51.25,-64.25
-54.25,-63.25
-53.75,-63.75
-54.25,-63.75
-50.25,-62.25
-49.25,-65.75
-49.25,-66.25
-41.25,-56.75
